None,E(keV),psi0rSi111,psi0iSi111,psihrSi111,psihiSi111,psihbrSi111,psihbiSi111
513,27.6,-1.2696e-06,2.5488e-09,6.6822e-07,1.7791e-09,6.6822e-07,1.7791e-09
514,27.65,-1.265e-06,2.5302e-09,6.6579e-07,1.7661e-09,6.6579e-07,1.7661e-09
515,27.7,-1.2604e-06,2.5118e-09,6.6339e-07,1.7533e-09,6.6339e-07,1.7533e-09
516,27.75,-1.2558e-06,2.4936e-09,6.6099e-07,1.7405e-09,6.6099e-07,1.7405e-09
517,27.8,-1.2513e-06,2.4755e-09,6.5861e-07,1.7279e-09,6.5861e-07,1.7279e-09
518,27.85,-1.2468e-06,2.4576e-09,6.5624e-07,1.7154e-09,6.5624e-07,1.7154e-09
519,27.9,-1.2423e-06,2.4398e-09,6.5388e-07,1.703e-09,6.5388e-07,1.703e-09
520,27.95,-1.2379e-06,2.4222e-09,6.5153e-07,1.6907e-09,6.5153e-07,1.6907e-09
521,28.0,-1.2335e-06,2.4048e-09,6.492e-07,1.6786e-09,6.492e-07,1.6786e-09
522,28.05,-1.229e-06,2.3875e-09,6.4688e-07,1.6665e-09,6.4688e-07,1.6665e-09
523,28.1,-1.2247e-06,2.3704e-09,6.4458e-07,1.6546e-09,6.4458e-07,1.6546e-09
524,28.15,-1.2203e-06,2.3534e-09,6.4228e-07,1.6427e-09,6.4228e-07,1.6427e-09
525,28.2,-1.216e-06,2.3366e-09,6.4e-07,1.631e-09,6.4e-07,1.631e-09
526,28.25,-1.2117e-06,2.3199e-09,6.3773e-07,1.6194e-09,6.3773e-07,1.6194e-09
527,28.3,-1.2074e-06,2.3034e-09,6.3547e-07,1.6078e-09,6.3547e-07,1.6078e-09
528,28.35,-1.2031e-06,2.287e-09,6.3322e-07,1.5964e-09,6.3322e-07,1.5964e-09
529,28.4,-1.1989e-06,2.2708e-09,6.3099e-07,1.5851e-09,6.3099e-07,1.5851e-09
530,28.45,-1.1947e-06,2.2547e-09,6.2877e-07,1.5738e-09,6.2877e-07,1.5738e-09
531,28.5,-1.1905e-06,2.2388e-09,6.2656e-07,1.5627e-09,6.2656e-07,1.5627e-09
532,28.55,-1.1863e-06,2.223e-09,6.2436e-07,1.5517e-09,6.2436e-07,1.5517e-09
533,28.6,-1.1821e-06,2.2073e-09,6.2217e-07,1.5407e-09,6.2217e-07,1.5407e-09
534,28.65,-1.178e-06,2.1918e-09,6.1999e-07,1.5299e-09,6.1999e-07,1.5299e-09
535,28.7,-1.1739e-06,2.1764e-09,6.1783e-07,1.5192e-09,6.1783e-07,1.5192e-09
536,28.75,-1.1698e-06,2.1611e-09,6.1567e-07,1.5085e-09,6.1567e-07,1.5085e-09
537,28.8,-1.1657e-06,2.146e-09,6.1353e-07,1.498e-09,6.1353e-07,1.498e-09
538,28.85,-1.1617e-06,2.131e-09,6.114e-07,1.4875e-09,6.114e-07,1.4875e-09
539,28.9,-1.1577e-06,2.1161e-09,6.0928e-07,1.4771e-09,6.0928e-07,1.4771e-09
540,28.95,-1.1537e-06,2.1014e-09,6.0717e-07,1.4668e-09,6.0717e-07,1.4668e-09
541,29.0,-1.1497e-06,2.0868e-09,6.0507e-07,1.4566e-09,6.0507e-07,1.4566e-09
542,29.05,-1.1457e-06,2.0723e-09,6.0299e-07,1.4465e-09,6.0299e-07,1.4465e-09
543,29.1,-1.1418e-06,2.058e-09,6.0091e-07,1.4365e-09,6.0091e-07,1.4365e-09
544,29.15,-1.1378e-06,2.0437e-09,5.9884e-07,1.4266e-09,5.9884e-07,1.4266e-09
545,29.2,-1.1339e-06,2.0296e-09,5.9679e-07,1.4167e-09,5.9679e-07,1.4167e-09
546,29.25,-1.1301e-06,2.0156e-09,5.9475e-07,1.407e-09,5.9475e-07,1.407e-09
547,29.3,-1.1262e-06,2.0018e-09,5.9271e-07,1.3973e-09,5.9271e-07,1.3973e-09
548,29.35,-1.1224e-06,1.988e-09,5.9069e-07,1.3877e-09,5.9069e-07,1.3877e-09
549,29.4,-1.1185e-06,1.9744e-09,5.8867e-07,1.3782e-09,5.8867e-07,1.3782e-09
550,29.45,-1.1147e-06,1.9609e-09,5.8667e-07,1.3688e-09,5.8667e-07,1.3688e-09
551,29.5,-1.1109e-06,1.9475e-09,5.8468e-07,1.3594e-09,5.8468e-07,1.3594e-09
552,29.55,-1.1072e-06,1.9342e-09,5.827e-07,1.3501e-09,5.827e-07,1.3501e-09
553,29.6,-1.1034e-06,1.921e-09,5.8072e-07,1.3409e-09,5.8072e-07,1.3409e-09
554,29.65,-1.0997e-06,1.9079e-09,5.7876e-07,1.3318e-09,5.7876e-07,1.3318e-09
555,29.7,-1.096e-06,1.895e-09,5.7681e-07,1.3228e-09,5.7681e-07,1.3228e-09
556,29.75,-1.0923e-06,1.8821e-09,5.7487e-07,1.3138e-09,5.7487e-07,1.3138e-09
557,29.8,-1.0886e-06,1.8694e-09,5.7293e-07,1.3049e-09,5.7293e-07,1.3049e-09
558,29.85,-1.085e-06,1.8568e-09,5.7101e-07,1.2961e-09,5.7101e-07,1.2961e-09
559,29.9,-1.0814e-06,1.8443e-09,5.691e-07,1.2874e-09,5.691e-07,1.2874e-09
560,29.95,-1.0777e-06,1.8318e-09,5.6719e-07,1.2787e-09,5.6719e-07,1.2787e-09
561,30.0,-1.0741e-06,1.8195e-09,5.653e-07,1.2701e-09,5.653e-07,1.2701e-09
562,30.05,-1.0706e-06,1.8073e-09,5.6341e-07,1.2616e-09,5.6341e-07,1.2616e-09
563,30.1,-1.067e-06,1.7952e-09,5.6154e-07,1.2531e-09,5.6154e-07,1.2531e-09
564,30.15,-1.0635e-06,1.7832e-09,5.5967e-07,1.2448e-09,5.5967e-07,1.2448e-09
565,30.2,-1.0599e-06,1.7713e-09,5.5781e-07,1.2365e-09,5.5781e-07,1.2365e-09
566,30.25,-1.0564e-06,1.7595e-09,5.5597e-07,1.2282e-09,5.5597e-07,1.2282e-09
567,30.3,-1.0529e-06,1.7478e-09,5.5413e-07,1.22e-09,5.5413e-07,1.22e-09
568,30.35,-1.0495e-06,1.7362e-09,5.523e-07,1.2119e-09,5.523e-07,1.2119e-09
569,30.4,-1.046e-06,1.7246e-09,5.5048e-07,1.2039e-09,5.5048e-07,1.2039e-09
570,30.45,-1.0426e-06,1.7132e-09,5.4867e-07,1.1959e-09,5.4867e-07,1.1959e-09
571,30.5,-1.0391e-06,1.7019e-09,5.4687e-07,1.188e-09,5.4687e-07,1.188e-09
572,30.55,-1.0357e-06,1.6907e-09,5.4507e-07,1.1802e-09,5.4507e-07,1.1802e-09
573,30.6,-1.0324e-06,1.6795e-09,5.4329e-07,1.1724e-09,5.4329e-07,1.1724e-09
574,30.65,-1.029e-06,1.6685e-09,5.4151e-07,1.1647e-09,5.4151e-07,1.1647e-09
575,30.7,-1.0256e-06,1.6575e-09,5.3974e-07,1.157e-09,5.3974e-07,1.157e-09
576,30.75,-1.0223e-06,1.6466e-09,5.3799e-07,1.1495e-09,5.3799e-07,1.1495e-09
577,30.8,-1.019e-06,1.6359e-09,5.3624e-07,1.1419e-09,5.3624e-07,1.1419e-09
578,30.85,-1.0157e-06,1.6252e-09,5.3449e-07,1.1345e-09,5.3449e-07,1.1345e-09
579,30.9,-1.0124e-06,1.6146e-09,5.3276e-07,1.1271e-09,5.3276e-07,1.1271e-09
580,30.95,-1.0091e-06,1.604e-09,5.3104e-07,1.1197e-09,5.3104e-07,1.1197e-09
581,31.0,-1.0058e-06,1.5936e-09,5.2932e-07,1.1124e-09,5.2932e-07,1.1124e-09
582,31.05,-1.0026e-06,1.5832e-09,5.2761e-07,1.1052e-09,5.2761e-07,1.1052e-09
583,31.1,-9.9936e-07,1.573e-09,5.2591e-07,1.098e-09,5.2591e-07,1.098e-09
584,31.15,-9.9615e-07,1.5628e-09,5.2422e-07,1.0909e-09,5.2422e-07,1.0909e-09
585,31.2,-9.9295e-07,1.5527e-09,5.2254e-07,1.0839e-09,5.2254e-07,1.0839e-09
586,31.25,-9.8977e-07,1.5427e-09,5.2086e-07,1.0769e-09,5.2086e-07,1.0769e-09
587,31.3,-9.866e-07,1.5327e-09,5.192e-07,1.0699e-09,5.192e-07,1.0699e-09
588,31.35,-9.8345e-07,1.5229e-09,5.1754e-07,1.0631e-09,5.1754e-07,1.0631e-09
589,31.4,-9.8032e-07,1.5131e-09,5.1589e-07,1.0562e-09,5.1589e-07,1.0562e-09
590,31.45,-9.7719e-07,1.5034e-09,5.1424e-07,1.0495e-09,5.1424e-07,1.0495e-09
591,31.5,-9.7409e-07,1.4938e-09,5.1261e-07,1.0427e-09,5.1261e-07,1.0427e-09
592,31.55,-9.71e-07,1.4842e-09,5.1098e-07,1.0361e-09,5.1098e-07,1.0361e-09
593,31.6,-9.6792e-07,1.4747e-09,5.0936e-07,1.0295e-09,5.0936e-07,1.0295e-09
594,31.65,-9.6486e-07,1.4653e-09,5.0775e-07,1.0229e-09,5.0775e-07,1.0229e-09
595,31.7,-9.6181e-07,1.456e-09,5.0614e-07,1.0164e-09,5.0614e-07,1.0164e-09
596,31.75,-9.5878e-07,1.4468e-09,5.0454e-07,1.0099e-09,5.0454e-07,1.0099e-09
597,31.8,-9.5576e-07,1.4376e-09,5.0296e-07,1.0035e-09,5.0296e-07,1.0035e-09
598,31.85,-9.5276e-07,1.4285e-09,5.0137e-07,9.9719e-10,5.0137e-07,9.9719e-10
599,31.9,-9.4977e-07,1.4194e-09,4.998e-07,9.9088e-10,4.998e-07,9.9088e-10
600,31.95,-9.4679e-07,1.4105e-09,4.9823e-07,9.8463e-10,4.9823e-07,9.8463e-10
601,32.0,-9.4383e-07,1.4016e-09,4.9667e-07,9.7842e-10,4.9667e-07,9.7842e-10
602,32.05,-9.4088e-07,1.3928e-09,4.9512e-07,9.7227e-10,4.9512e-07,9.7227e-10
603,32.1,-9.3795e-07,1.384e-09,4.9357e-07,9.6616e-10,4.9357e-07,9.6616e-10
604,32.15,-9.3502e-07,1.3753e-09,4.9204e-07,9.601e-10,4.9204e-07,9.601e-10
605,32.2,-9.3212e-07,1.3667e-09,4.9051e-07,9.5408e-10,4.9051e-07,9.5408e-10
606,32.25,-9.2922e-07,1.3582e-09,4.8898e-07,9.4812e-10,4.8898e-07,9.4812e-10
607,32.3,-9.2634e-07,1.3497e-09,4.8747e-07,9.422e-10,4.8747e-07,9.422e-10
608,32.35,-9.2348e-07,1.3413e-09,4.8596e-07,9.3632e-10,4.8596e-07,9.3632e-10
609,32.4,-9.2062e-07,1.3329e-09,4.8445e-07,9.3049e-10,4.8445e-07,9.3049e-10
610,32.45,-9.1778e-07,1.3246e-09,4.8296e-07,9.2471e-10,4.8296e-07,9.2471e-10
611,32.5,-9.1496e-07,1.3164e-09,4.8147e-07,9.1897e-10,4.8147e-07,9.1897e-10
612,32.55,-9.1214e-07,1.3083e-09,4.7999e-07,9.1328e-10,4.7999e-07,9.1328e-10
613,32.6,-9.0934e-07,1.3002e-09,4.7851e-07,9.0763e-10,4.7851e-07,9.0763e-10
614,32.65,-9.0655e-07,1.2921e-09,4.7704e-07,9.0202e-10,4.7704e-07,9.0202e-10
615,32.7,-9.0378e-07,1.2842e-09,4.7558e-07,8.9645e-10,4.7558e-07,8.9645e-10
616,32.75,-9.0101e-07,1.2762e-09,4.7413e-07,8.9093e-10,4.7413e-07,8.9093e-10
617,32.8,-8.9826e-07,1.2684e-09,4.7268e-07,8.8545e-10,4.7268e-07,8.8545e-10
618,32.85,-8.9553e-07,1.2606e-09,4.7124e-07,8.8002e-10,4.7124e-07,8.8002e-10
619,32.9,-8.928e-07,1.2529e-09,4.698e-07,8.7462e-10,4.698e-07,8.7462e-10
620,32.95,-8.9009e-07,1.2452e-09,4.6838e-07,8.6927e-10,4.6838e-07,8.6927e-10
621,33.0,-8.8739e-07,1.2376e-09,4.6695e-07,8.6396e-10,4.6695e-07,8.6396e-10
622,33.05,-8.847e-07,1.23e-09,4.6554e-07,8.5868e-10,4.6554e-07,8.5868e-10
623,33.1,-8.8203e-07,1.2225e-09,4.6413e-07,8.5345e-10,4.6413e-07,8.5345e-10
624,33.15,-8.7936e-07,1.2151e-09,4.6273e-07,8.4826e-10,4.6273e-07,8.4826e-10
625,33.2,-8.7671e-07,1.2077e-09,4.6133e-07,8.431e-10,4.6133e-07,8.431e-10
626,33.25,-8.7407e-07,1.2004e-09,4.5994e-07,8.3799e-10,4.5994e-07,8.3799e-10
627,33.3,-8.7144e-07,1.1931e-09,4.5856e-07,8.3291e-10,4.5856e-07,8.3291e-10
628,33.35,-8.6883e-07,1.1859e-09,4.5718e-07,8.2788e-10,4.5718e-07,8.2788e-10
629,33.4,-8.6622e-07,1.1787e-09,4.5581e-07,8.2287e-10,4.5581e-07,8.2287e-10
630,33.45,-8.6363e-07,1.1716e-09,4.5445e-07,8.1791e-10,4.5445e-07,8.1791e-10
631,33.5,-8.6105e-07,1.1646e-09,4.5309e-07,8.1299e-10,4.5309e-07,8.1299e-10
632,33.55,-8.5848e-07,1.1576e-09,4.5173e-07,8.081e-10,4.5173e-07,8.081e-10
633,33.6,-8.5592e-07,1.1506e-09,4.5039e-07,8.0325e-10,4.5039e-07,8.0325e-10
634,33.65,-8.5338e-07,1.1437e-09,4.4905e-07,7.9843e-10,4.4905e-07,7.9843e-10
635,33.7,-8.5084e-07,1.1369e-09,4.4771e-07,7.9365e-10,4.4771e-07,7.9365e-10
636,33.75,-8.4832e-07,1.1301e-09,4.4638e-07,7.8891e-10,4.4638e-07,7.8891e-10
637,33.8,-8.4581e-07,1.1233e-09,4.4506e-07,7.842e-10,4.4506e-07,7.842e-10
638,33.85,-8.433e-07,1.1166e-09,4.4374e-07,7.7953e-10,4.4374e-07,7.7953e-10
639,33.9,-8.4081e-07,1.11e-09,4.4243e-07,7.7489e-10,4.4243e-07,7.7489e-10
640,33.95,-8.3834e-07,1.1034e-09,4.4113e-07,7.7029e-10,4.4113e-07,7.7029e-10
641,34.0,-8.3587e-07,1.0968e-09,4.3983e-07,7.6572e-10,4.3983e-07,7.6572e-10
642,34.05,-8.3341e-07,1.0903e-09,4.3853e-07,7.6118e-10,4.3853e-07,7.6118e-10
643,34.1,-8.3096e-07,1.0839e-09,4.3725e-07,7.5668e-10,4.3725e-07,7.5668e-10
644,34.15,-8.2853e-07,1.0775e-09,4.3596e-07,7.5221e-10,4.3596e-07,7.5221e-10
645,34.2,-8.261e-07,1.0711e-09,4.3469e-07,7.4777e-10,4.3469e-07,7.4777e-10
646,34.25,-8.2369e-07,1.0648e-09,4.3341e-07,7.4337e-10,4.3341e-07,7.4337e-10
647,34.3,-8.2128e-07,1.0586e-09,4.3215e-07,7.3899e-10,4.3215e-07,7.3899e-10
648,34.35,-8.1889e-07,1.0523e-09,4.3089e-07,7.3465e-10,4.3089e-07,7.3465e-10
649,34.4,-8.1651e-07,1.0462e-09,4.2963e-07,7.3035e-10,4.2963e-07,7.3035e-10
650,34.45,-8.1414e-07,1.04e-09,4.2839e-07,7.2607e-10,4.2839e-07,7.2607e-10
651,34.5,-8.1177e-07,1.034e-09,4.2714e-07,7.2182e-10,4.2714e-07,7.2182e-10
652,34.55,-8.0942e-07,1.0279e-09,4.259e-07,7.1761e-10,4.259e-07,7.1761e-10
653,34.6,-8.0708e-07,1.0219e-09,4.2467e-07,7.1343e-10,4.2467e-07,7.1343e-10
654,34.65,-8.0475e-07,1.016e-09,4.2344e-07,7.0927e-10,4.2344e-07,7.0927e-10
655,34.7,-8.0243e-07,1.0101e-09,4.2222e-07,7.0515e-10,4.2222e-07,7.0515e-10
656,34.75,-8.0011e-07,1.0042e-09,4.21e-07,7.0106e-10,4.21e-07,7.0106e-10
657,34.8,-7.9781e-07,9.9839e-10,4.1979e-07,6.9699e-10,4.1979e-07,6.9699e-10
658,34.85,-7.9552e-07,9.9261e-10,4.1859e-07,6.9296e-10,4.1859e-07,6.9296e-10
659,34.9,-7.9324e-07,9.8687e-10,4.1738e-07,6.8895e-10,4.1738e-07,6.8895e-10
660,34.95,-7.9097e-07,9.8117e-10,4.1619e-07,6.8497e-10,4.1619e-07,6.8497e-10
661,35.0,-7.8871e-07,9.7551e-10,4.15e-07,6.8103e-10,4.15e-07,6.8103e-10
662,35.05,-7.8645e-07,9.699e-10,4.1381e-07,6.7711e-10,4.1381e-07,6.7711e-10
663,35.1,-7.8421e-07,9.6432e-10,4.1263e-07,6.7322e-10,4.1263e-07,6.7322e-10
664,35.15,-7.8198e-07,9.5879e-10,4.1146e-07,6.6935e-10,4.1146e-07,6.6935e-10
665,35.2,-7.7975e-07,9.5329e-10,4.1028e-07,6.6552e-10,4.1028e-07,6.6552e-10
666,35.25,-7.7754e-07,9.4784e-10,4.0912e-07,6.6171e-10,4.0912e-07,6.6171e-10
667,35.3,-7.7533e-07,9.4242e-10,4.0796e-07,6.5793e-10,4.0796e-07,6.5793e-10
668,35.35,-7.7314e-07,9.3704e-10,4.068e-07,6.5417e-10,4.068e-07,6.5417e-10
669,35.4,-7.7095e-07,9.317e-10,4.0565e-07,6.5044e-10,4.0565e-07,6.5044e-10
670,35.45,-7.6878e-07,9.264e-10,4.0451e-07,6.4674e-10,4.0451e-07,6.4674e-10
671,35.5,-7.6661e-07,9.2113e-10,4.0336e-07,6.4307e-10,4.0336e-07,6.4307e-10
672,35.55,-7.6445e-07,9.159e-10,4.0223e-07,6.3942e-10,4.0223e-07,6.3942e-10
673,35.6,-7.623e-07,9.1071e-10,4.011e-07,6.3579e-10,4.011e-07,6.3579e-10
674,35.65,-7.6016e-07,9.0556e-10,3.9997e-07,6.322e-10,3.9997e-07,6.322e-10
675,35.7,-7.5803e-07,9.0044e-10,3.9885e-07,6.2862e-10,3.9885e-07,6.2862e-10
676,35.75,-7.5591e-07,8.9536e-10,3.9773e-07,6.2508e-10,3.9773e-07,6.2508e-10
677,35.8,-7.5379e-07,8.9031e-10,3.9662e-07,6.2155e-10,3.9662e-07,6.2155e-10
678,35.85,-7.5169e-07,8.853e-10,3.9551e-07,6.1806e-10,3.9551e-07,6.1806e-10
679,35.9,-7.4959e-07,8.8032e-10,3.9441e-07,6.1458e-10,3.9441e-07,6.1458e-10
680,35.95,-7.4751e-07,8.7538e-10,3.9331e-07,6.1113e-10,3.9331e-07,6.1113e-10
681,36.0,-7.4543e-07,8.7048e-10,3.9221e-07,6.0771e-10,3.9221e-07,6.0771e-10
682,36.05,-7.4336e-07,8.6561e-10,3.9112e-07,6.0431e-10,3.9112e-07,6.0431e-10
683,36.1,-7.413e-07,8.6077e-10,3.9004e-07,6.0093e-10,3.9004e-07,6.0093e-10
684,36.15,-7.3924e-07,8.5596e-10,3.8896e-07,5.9758e-10,3.8896e-07,5.9758e-10
685,36.2,-7.372e-07,8.5119e-10,3.8788e-07,5.9425e-10,3.8788e-07,5.9425e-10
686,36.25,-7.3516e-07,8.4646e-10,3.8681e-07,5.9094e-10,3.8681e-07,5.9094e-10
687,36.3,-7.3314e-07,8.4175e-10,3.8574e-07,5.8766e-10,3.8574e-07,5.8766e-10
688,36.35,-7.3112e-07,8.3708e-10,3.8468e-07,5.844e-10,3.8468e-07,5.844e-10
689,36.4,-7.2911e-07,8.3244e-10,3.8362e-07,5.8116e-10,3.8362e-07,5.8116e-10
690,36.45,-7.2711e-07,8.2783e-10,3.8257e-07,5.7794e-10,3.8257e-07,5.7794e-10
691,36.5,-7.2511e-07,8.2325e-10,3.8152e-07,5.7475e-10,3.8152e-07,5.7475e-10
692,36.55,-7.2313e-07,8.1871e-10,3.8047e-07,5.7157e-10,3.8047e-07,5.7157e-10
693,36.6,-7.2115e-07,8.142e-10,3.7943e-07,5.6842e-10,3.7943e-07,5.6842e-10
694,36.65,-7.1918e-07,8.0971e-10,3.784e-07,5.6529e-10,3.784e-07,5.6529e-10
695,36.7,-7.1722e-07,8.0526e-10,3.7736e-07,5.6219e-10,3.7736e-07,5.6219e-10
696,36.75,-7.1526e-07,8.0084e-10,3.7633e-07,5.591e-10,3.7633e-07,5.591e-10
697,36.8,-7.1332e-07,7.9645e-10,3.7531e-07,5.5604e-10,3.7531e-07,5.5604e-10
698,36.85,-7.1138e-07,7.9209e-10,3.7429e-07,5.5299e-10,3.7429e-07,5.5299e-10
699,36.9,-7.0945e-07,7.8776e-10,3.7327e-07,5.4997e-10,3.7327e-07,5.4997e-10
700,36.95,-7.0753e-07,7.8346e-10,3.7226e-07,5.4697e-10,3.7226e-07,5.4697e-10
701,37.0,-7.0562e-07,7.7919e-10,3.7126e-07,5.4398e-10,3.7126e-07,5.4398e-10
702,37.05,-7.0371e-07,7.7494e-10,3.7025e-07,5.4102e-10,3.7025e-07,5.4102e-10
703,37.1,-7.0181e-07,7.7073e-10,3.6925e-07,5.3808e-10,3.6925e-07,5.3808e-10
704,37.15,-6.9992e-07,7.6654e-10,3.6826e-07,5.3516e-10,3.6826e-07,5.3516e-10
705,37.2,-6.9804e-07,7.6239e-10,3.6727e-07,5.3226e-10,3.6727e-07,5.3226e-10
706,37.25,-6.9616e-07,7.5826e-10,3.6628e-07,5.2937e-10,3.6628e-07,5.2937e-10
707,37.3,-6.9429e-07,7.5415e-10,3.653e-07,5.2651e-10,3.653e-07,5.2651e-10
708,37.35,-6.9243e-07,7.5008e-10,3.6432e-07,5.2367e-10,3.6432e-07,5.2367e-10
709,37.4,-6.9058e-07,7.4603e-10,3.6334e-07,5.2084e-10,3.6334e-07,5.2084e-10
710,37.45,-6.8873e-07,7.4202e-10,3.6237e-07,5.1804e-10,3.6237e-07,5.1804e-10
711,37.5,-6.869e-07,7.3802e-10,3.614e-07,5.1525e-10,3.614e-07,5.1525e-10
712,37.55,-6.8507e-07,7.3406e-10,3.6044e-07,5.1248e-10,3.6044e-07,5.1248e-10
713,37.6,-6.8324e-07,7.3012e-10,3.5948e-07,5.0973e-10,3.5948e-07,5.0973e-10
714,37.65,-6.8143e-07,7.2621e-10,3.5852e-07,5.07e-10,3.5852e-07,5.07e-10
715,37.7,-6.7962e-07,7.2232e-10,3.5757e-07,5.0429e-10,3.5757e-07,5.0429e-10
716,37.75,-6.7781e-07,7.1846e-10,3.5662e-07,5.0159e-10,3.5662e-07,5.0159e-10
717,37.8,-6.7602e-07,7.1463e-10,3.5568e-07,4.9892e-10,3.5568e-07,4.9892e-10
718,37.85,-6.7423e-07,7.1082e-10,3.5474e-07,4.9626e-10,3.5474e-07,4.9626e-10
719,37.9,-6.7245e-07,7.0703e-10,3.538e-07,4.9362e-10,3.538e-07,4.9362e-10
720,37.95,-6.7068e-07,7.0327e-10,3.5286e-07,4.9099e-10,3.5286e-07,4.9099e-10
721,38.0,-6.6891e-07,6.9954e-10,3.5193e-07,4.8839e-10,3.5193e-07,4.8839e-10
722,38.05,-6.6715e-07,6.9583e-10,3.5101e-07,4.858e-10,3.5101e-07,4.858e-10
723,38.1,-6.654e-07,6.9215e-10,3.5009e-07,4.8323e-10,3.5009e-07,4.8323e-10
724,38.15,-6.6365e-07,6.8849e-10,3.4917e-07,4.8067e-10,3.4917e-07,4.8067e-10
725,38.2,-6.6192e-07,6.8485e-10,3.4825e-07,4.7813e-10,3.4825e-07,4.7813e-10
726,38.25,-6.6018e-07,6.8124e-10,3.4734e-07,4.7561e-10,3.4734e-07,4.7561e-10
727,38.3,-6.5846e-07,6.7765e-10,3.4643e-07,4.7311e-10,3.4643e-07,4.7311e-10
728,38.35,-6.5674e-07,6.7408e-10,3.4553e-07,4.7062e-10,3.4553e-07,4.7062e-10
729,38.4,-6.5503e-07,6.7054e-10,3.4463e-07,4.6815e-10,3.4463e-07,4.6815e-10
730,38.45,-6.5332e-07,6.6702e-10,3.4373e-07,4.6569e-10,3.4373e-07,4.6569e-10
731,38.5,-6.5162e-07,6.6353e-10,3.4283e-07,4.6325e-10,3.4283e-07,4.6325e-10
732,38.55,-6.4993e-07,6.6006e-10,3.4194e-07,4.6083e-10,3.4194e-07,4.6083e-10
733,38.6,-6.4825e-07,6.5661e-10,3.4106e-07,4.5842e-10,3.4106e-07,4.5842e-10
734,38.65,-6.4657e-07,6.5318e-10,3.4017e-07,4.5603e-10,3.4017e-07,4.5603e-10
735,38.7,-6.449e-07,6.4978e-10,3.3929e-07,4.5365e-10,3.3929e-07,4.5365e-10
736,38.75,-6.4323e-07,6.4639e-10,3.3842e-07,4.5129e-10,3.3842e-07,4.5129e-10
737,38.8,-6.4157e-07,6.4303e-10,3.3754e-07,4.4894e-10,3.3754e-07,4.4894e-10
738,38.85,-6.3992e-07,6.3969e-10,3.3667e-07,4.4661e-10,3.3667e-07,4.4661e-10
739,38.9,-6.3827e-07,6.3638e-10,3.3581e-07,4.4429e-10,3.3581e-07,4.4429e-10
740,38.95,-6.3663e-07,6.3308e-10,3.3494e-07,4.4199e-10,3.3494e-07,4.4199e-10
741,39.0,-6.35e-07,6.298e-10,3.3408e-07,4.3971e-10,3.3408e-07,4.3971e-10
742,39.05,-6.3337e-07,6.2655e-10,3.3323e-07,4.3744e-10,3.3323e-07,4.3744e-10
743,39.1,-6.3175e-07,6.2332e-10,3.3237e-07,4.3518e-10,3.3237e-07,4.3518e-10
744,39.15,-6.3014e-07,6.2011e-10,3.3152e-07,4.3294e-10,3.3152e-07,4.3294e-10
745,39.2,-6.2853e-07,6.1692e-10,3.3068e-07,4.3071e-10,3.3068e-07,4.3071e-10
746,39.25,-6.2692e-07,6.1374e-10,3.2983e-07,4.285e-10,3.2983e-07,4.285e-10
747,39.3,-6.2533e-07,6.1059e-10,3.2899e-07,4.263e-10,3.2899e-07,4.263e-10
748,39.35,-6.2374e-07,6.0746e-10,3.2816e-07,4.2411e-10,3.2816e-07,4.2411e-10
749,39.4,-6.2215e-07,6.0435e-10,3.2732e-07,4.2194e-10,3.2732e-07,4.2194e-10
750,39.45,-6.2057e-07,6.0126e-10,3.2649e-07,4.1978e-10,3.2649e-07,4.1978e-10
751,39.5,-6.19e-07,5.9819e-10,3.2566e-07,4.1764e-10,3.2566e-07,4.1764e-10
752,39.55,-6.1744e-07,5.9514e-10,3.2484e-07,4.1551e-10,3.2484e-07,4.1551e-10
753,39.6,-6.1588e-07,5.9211e-10,3.2402e-07,4.134e-10,3.2402e-07,4.134e-10
754,39.65,-6.1432e-07,5.891e-10,3.232e-07,4.1129e-10,3.232e-07,4.1129e-10
755,39.7,-6.1277e-07,5.8611e-10,3.2238e-07,4.092e-10,3.2238e-07,4.092e-10
756,39.75,-6.1123e-07,5.8313e-10,3.2157e-07,4.0713e-10,3.2157e-07,4.0713e-10
757,39.8,-6.0969e-07,5.8018e-10,3.2076e-07,4.0506e-10,3.2076e-07,4.0506e-10
758,39.85,-6.0816e-07,5.7724e-10,3.1996e-07,4.0301e-10,3.1996e-07,4.0301e-10
759,39.9,-6.0664e-07,5.7432e-10,3.1915e-07,4.0098e-10,3.1915e-07,4.0098e-10
760,39.95,-6.0512e-07,5.7142e-10,3.1835e-07,3.9895e-10,3.1835e-07,3.9895e-10
761,40.0,-6.036e-07,5.6854e-10,3.1756e-07,3.9694e-10,3.1756e-07,3.9694e-10
762,40.05,-6.0209e-07,5.6568e-10,3.1676e-07,3.9494e-10,3.1676e-07,3.9494e-10
763,40.1,-6.0059e-07,5.6283e-10,3.1597e-07,3.9296e-10,3.1597e-07,3.9296e-10
764,40.15,-5.9909e-07,5.6e-10,3.1518e-07,3.9098e-10,3.1518e-07,3.9098e-10
765,40.2,-5.976e-07,5.5719e-10,3.144e-07,3.8902e-10,3.144e-07,3.8902e-10
766,40.25,-5.9612e-07,5.544e-10,3.1362e-07,3.8707e-10,3.1362e-07,3.8707e-10
767,40.3,-5.9464e-07,5.5163e-10,3.1284e-07,3.8513e-10,3.1284e-07,3.8513e-10
768,40.35,-5.9316e-07,5.4887e-10,3.1206e-07,3.8321e-10,3.1206e-07,3.8321e-10
